segment,algorithm,target_transform,MAE,RMSE,MAPE,R2,train_time_sec
overall,XGBoost,raw,85.92836031029032,147.06720328352984,20.99837854336085,0.9469088842969308,5.75
overall,XGBoost,log1p,87.40747630837039,152.29588288651277,19.064909514356508,0.9430666799191242,6.32
overall,LightGBM,raw,87.71601118698223,149.2075024330913,21.460812951212656,0.9453523480481828,4.8
overall,LightGBM,log1p,89.11835298394519,154.25140421131198,19.40985753748779,0.94159521396547,5.23
overall,CatBoost,raw,92.7722780172589,156.1116248290107,22.58888029143208,0.9401780352533964,8.34
overall,CatBoost,log1p,94.64328700212062,162.23164233940142,20.48055559891069,0.9353957165108552,8.4
turvo,XGBoost,raw,87.29104491277947,148.91626443850345,20.24761431027244,0.949465557704492,5.33
turvo,XGBoost,log1p,89.19344380093003,154.3274459127959,18.3507098513,0.945726285242147,5.69
turvo,LightGBM,raw,88.87973619158065,150.82415557145035,20.632460198288737,0.9481623845903584,4.14
turvo,LightGBM,log1p,91.50357312311196,157.39615708236468,18.749330549977607,0.9435464236888876,4.41
turvo,CatBoost,raw,93.62101593669064,156.79476770710903,21.56556687842344,0.9439770024442204,7.44
turvo,CatBoost,log1p,96.8550619872218,163.8922664970364,19.77648776450995,0.938790316660594,7.73
magnus,XGBoost,raw,59.34092476272315,113.05637369675146,20.634179448485344,0.8588557405807838,1.36
magnus,XGBoost,log1p,58.35352940408384,118.19643615897807,18.133387453560097,0.8457298574908744,1.45
magnus,LightGBM,raw,59.85428628258358,112.73119237365768,20.72130719090456,0.8596665125633424,0.59
magnus,LightGBM,log1p,58.669410938086166,118.8103263675584,18.246613716548747,0.8441231953459699,0.62
magnus,CatBoost,raw,64.28624896920125,118.24098020728267,22.40743257472588,0.8456135576805698,1.84
magnus,CatBoost,log1p,61.055242928838005,122.74240329126135,19.30507274081,0.8336348477542466,1.79
